iter	Passed	Remaining
401	19031	28310
402	19075	28258
403	19126	28215
404	19182	28182
405	19239	28148
406	19294	28111
407	19340	28061
408	19389	28017
409	19437	27971
410	19481	27919
411	19529	27872
412	19581	27831
413	19630	27786
414	19692	27759
415	19741	27713
416	19787	27664
417	19833	27615
418	19884	27572
419	19929	27522
420	19996	27501
421	20053	27467
422	20102	27421
423	20149	27373
424	20194	27322
425	20239	27270
426	20287	27223
427	20335	27177
428	20387	27135
429	20439	27093
430	20484	27043
431	20528	26991
432	20574	26941
433	20621	26893
434	20675	26854
435	20721	26804
436	20772	26761
437	20824	26720
438	20875	26676
439	20924	26631
440	20981	26596
441	21029	26548
442	21086	26512
443	21132	26463
444	21185	26422
445	21231	26372
446	21279	26325
447	21329	26281
448	21377	26233
449	21423	26184
450	21468	26133
451	21522	26093
452	21574	26051
453	21624	26006
454	21679	25967
455	21724	25916
456	21772	25869
457	21824	25827
458	21876	25784
459	21925	25738
460	21967	25683
461	22017	25639
462	22068	25596
463	22118	25550
464	22165	25502
465	22216	25458
466	22266	25413
467	22312	25363
468	22363	25319
469	22411	25272
470	22457	25222
471	22500	25169
472	22546	25120
473	22595	25074
474	22649	25033
475	22697	24986
476	22751	24945
477	22799	24897
478	22848	24851
479	22904	24813
480	22955	24768
481	23003	24721
482	23052	24674
483	23094	24621
484	23152	24584
485	23203	24539
486	23251	24492
487	23297	24442
488	23348	24398
489	23393	24347
490	23435	24294
491	23481	24245
492	23531	24199
493	23578	24150
494	23623	24100
495	23675	24056
496	23722	24008
497	23767	23958
498	23815	23911
499	23860	23860
500	23906	23811
501	23958	23767
502	24001	23715
503	24057	23675
504	24103	23626
505	24147	23575
506	24191	23523
507	24240	23477
508	24286	23427
509	24332	23378
510	24374	23324
511	24420	23275
512	24469	23229
513	24514	23178
514	24566	23134
515	24616	23090
516	24664	23042
517	24708	22990
518	24756	22944
519	24802	22894
520	24852	22848
521	24894	22796
522	24935	22742
523	24992	22703
524	25046	22660
525	25112	22629
526	25170	22591
527	25221	22546
528	25268	22497
529	25319	22453
530	25371	22408
531	25418	22360
532	25470	22316
533	25523	22273
534	25570	22224
535	25614	22173
536	25660	22124
537	25707	22076
538	25759	22031
539	25812	21988
540	25862	21942
541	25914	21898
542	25969	21856
543	26019	21810
544	26073	21767
545	26128	21725
546	26171	21674
547	26217	21624
548	26271	21581
549	26323	21537
550	26369	21487
551	26416	21439
552	26460	21388
553	26505	21338
554	26559	21295
555	26610	21249
556	26651	21197
557	26702	21151
558	26745	21099
559	26794	21053
560	26843	21005
561	26888	20955
562	26936	20908
563	26982	20858
564	27030	20811
565	27084	20767
566	27130	20718
567	27181	20673
568	27224	20621
569	27273	20574
570	27316	20523
571	27362	20474
572	27411	20426
573	27459	20379
574	27514	20336
575	27563	20289
576	27617	20246
577	27665	20198
578	27723	20158
579	27777	20114
580	27821	20063
581	27870	20017
582	27919	19970
583	27965	19920
584	28012	19871
585	28055	19821
586	28103	19773
587	28148	19723
588	28198	19676
589	28245	19628
590	28288	19577
591	28341	19532
592	28391	19486
593	28445	19442
594	28492	19393
595	28540	19345
596	28583	19295
597	28630	19246
598	28680	19199
599	28724	19149
600	28766	19097
601	28810	19047
602	28857	18999
603	28902	18949
604	28955	18904
605	29001	18855
606	29049	18808
607	29094	18758
608	29146	18712
609	29189	18662
610	29242	18617
611	29297	18573
612	29345	18526
613	29395	18479
614	29444	18432
615	29496	18387
616	29543	18339
617	29593	18292
618	29652	18251
619	29702	18204
620	29765	18166
621	29811	18116
622	29857	18068
623	29913	18024
624	29960	17976
625	30004	17926
626	30055	17880
627	30106	17833
628	30153	17785
629	30202	17738
630	30254	17692
631	30299	17642
632	30347	17594
633	30393	17546
634	30448	17501
635	30497	17454
636	30543	17405
637	30593	17358
638	30643	17312
639	30689	17262
640	30742	17217
641	30786	17167
642	30831	17117
643	30880	17070
644	30923	17019
645	30967	16969
646	31021	16925
647	31066	16875
648	31110	16825
649	31156	16776
650	31197	16725
651	31246	16677
652	31294	16629
653	31344	16583
654	31391	16534
655	31438	16486
656	31488	16439
657	31535	16390
658	31585	16344
659	31636	16297
660	31684	16249
661	31729	16200
662	31778	16152
663	31826	16104
664	31878	16059
665	31931	16013
666	31975	15963
667	32033	15920
668	32085	15874
669	32136	15828
670	32184	15780
671	32230	15731
672	32279	15683
673	32327	15635
674	32378	15589
675	32426	15541
676	32471	15492
677	32519	15444
678	32571	15398
679	32613	15347
680	32655	15296
681	32713	15253
682	32759	15204
683	32804	15155
684	32861	15111
685	32909	15063
686	32953	15013
687	33001	14965
688	33054	14920
689	33105	14873
690	33158	14827
691	33203	14778
692	33252	14730
693	33298	14682
694	33346	14634
695	33400	14588
696	33451	14542
697	33511	14499
698	33556	14449
699	33610	14404
700	33664	14359
701	33722	14315
702	33769	14266
703	33817	14218
704	33862	14169
705	33908	14120
706	33952	14070
707	34002	14023
708	34050	13975
709	34102	13929
710	34160	13885
711	34208	13837
712	34254	13788
713	34304	13741
714	34347	13690
715	34403	13646
716	34451	13597
717	34503	13551
718	34555	13505
719	34611	13460
720	34657	13411
721	34713	13366
722	34762	13318
723	34809	13269
724	34860	13223
725	34910	13175
726	34960	13128
727	35006	13079
728	35053	13030
729	35102	12983
730	35151	12935
731	35192	12884
732	35243	12837
733	35292	12789
734	35341	12742
735	35388	12693
736	35447	12649
737	35498	12602
738	35548	12554
739	35592	12505
740	35645	12459
741	35694	12411
742	35740	12362
743	35792	12315
744	35836	12266
745	35884	12218
746	35931	12169
747	35976	12120
748	36022	12071
749	36077	12025
750	36129	11979
751	36176	11930
752	36226	11883
753	36280	11836
754	36331	11789
755	36377	11740
756	36430	11694
757	36475	11645
758	36530	11599
759	36574	11549
760	36623	11501
761	36675	11455
762	36725	11407
763	36770	11358
764	36822	11311
765	36868	11262
766	36909	11212
767	36960	11165
768	37005	11116
769	37053	11067
770	37097	11018
771	37145	10970
772	37190	10921
773	37234	10872
774	37285	10824
775	37335	10777
776	37378	10727
777	37422	10678
778	37469	10629
779	37513	10580
780	37564	10533
781	37614	10485
782	37659	10436
783	37715	10390
784	37760	10342
785	37808	10293
786	37865	10248
787	37921	10202
788	37971	10154
789	38015	10105
790	38063	10057
791	38117	10010
792	38166	9962
793	38214	9914
794	38258	9865
795	38307	9817
796	38361	9770
797	38407	9722
798	38459	9675
799	38515	9628
800	38557	9579
801	38597	9528
802	38643	9480
803	38694	9432
804	38739	9384
805	38788	9336
806	38832	9287
807	38880	9238
808	38930	9191
809	38976	9142
810	39023	9094
811	39072	9046
812	39120	8998
813	39164	8949
814	39217	8902
815	39271	8855
816	39323	8808
817	39368	8759
818	39414	8710
819	39463	8662
820	39512	8614
821	39559	8566
822	39608	8518
823	39658	8470
824	39707	8422
825	39747	8372
826	39792	8324
827	39841	8276
828	39893	8228
829	39944	8181
830	39993	8133
831	40046	8086
832	40093	8037
833	40141	7989
834	40187	7941
835	40241	7894
836	40291	7846
837	40334	7797
838	40379	7748
839	40430	7701
840	40481	7653
841	40522	7604
842	40577	7557
843	40635	7510
844	40688	7463
845	40728	7413
846	40776	7365
847	40825	7317
848	40879	7270
849	40930	7223
850	40975	7174
851	41023	7126
852	41069	7077
853	41121	7030
854	41168	6981
855	41215	6933
856	41267	6885
857	41310	6836
